time,x,y,z,ax,ay,az,aw
1526153139.42,-4.11480283737,0.16739565134,5.65414476395,-0.00487835927343,-0.436424320594,0.002037358512,0.899725437662,
1526153139.52,-4.13185548782,0.166940301657,5.65897464752,-0.00511284464097,-0.438624048232,0.000857190902348,0.898655700675,
1526153139.59,-4.16410398483,0.16353186965,5.65677928925,-0.00520659854893,-0.441182889232,0.00222692259114,0.897399348337,
1526153139.71,-4.18140411377,0.163337051868,5.66096401215,-0.00537370072887,-0.443459278651,0.0012212506929,0.896277579808,
1526153139.82,-4.22062015533,0.166165217757,5.66237974167,-0.00483913705101,-0.446047006828,0.00241387384853,0.894993197553,
1526153139.92,-4.23857688904,0.166002318263,5.6663146019,-0.00503995937299,-0.448188917787,0.00157034562172,0.893923277914,
1526153140.0,-4.27832698822,0.167044043541,5.6706700325,-0.00511791109911,-0.451255891644,0.00266700069496,0.892375937792,
1526153140.12,-4.29660749435,0.166954055429,5.67406892776,-0.00526110188379,-0.453539171565,0.00188570883863,0.8912188198,
1526153140.22,-4.33630943298,0.170348078012,5.67669153214,-0.00486387490179,-0.456602254113,0.00271671946239,0.889653496422,
1526153140.32,-4.35525226593,0.170448079705,5.67993450165,-0.00495009336719,-0.458941521901,0.00195176313346,0.888450542614,
1526153140.41,-4.40045690536,0.16963416338,5.68647527695,-0.00488500937761,-0.463533581091,0.00453684673692,0.886054271987,
1526153140.53,-4.42064332962,0.173704683781,5.69149398804,-0.00454075430455,-0.466812648229,0.00509756161335,0.884329886337,
1526153140.63,-4.46904706955,0.174194961786,5.69183731079,-0.00551321640797,-0.469888309204,0.0053540445705,0.882692424078,
1526153140.73,-4.49036073685,0.177917614579,5.69658041,-0.00521131972181,-0.473042571088,0.00572557283255,0.881005553842,
